date,symbol,open,high,low,close,volume
2025-07-24,AAPL,213.9,215.69,213.53,213.76,46022620
2025-07-25,AAPL,214.7,215.24,213.4,213.88,40268781
2025-07-28,AAPL,214.03,214.845,213.06,214.05,37858017
2025-07-29,AAPL,214.175,214.81,210.82,211.27,51411723
2025-07-30,AAPL,211.895,212.39,207.72,209.05,45512514
2025-07-31,AAPL,208.49,209.84,207.16,207.57,80698431
2025-08-01,AAPL,210.865,213.58,201.5,202.38,104434473
2025-08-04,AAPL,204.505,207.88,201.675,203.35,75109298
2025-08-05,AAPL,203.4,205.34,202.16,202.92,44155079
2025-08-06,AAPL,205.63,215.38,205.59,213.25,108483103
2025-08-07,AAPL,218.875,220.85,216.58,220.03,90224834
2025-08-08,AAPL,220.83,231.0,219.25,229.35,113853967
2025-08-11,AAPL,227.92,229.56,224.76,227.18,61806132
2025-08-12,AAPL,228.005,230.8,227.07,229.65,55672301
2025-08-13,AAPL,231.07,235.0,230.43,233.33,69878546
2025-08-14,AAPL,234.055,235.12,230.85,232.78,51916275
2025-08-15,AAPL,234.0,234.28,229.335,231.59,56038657
2025-08-18,AAPL,231.7,233.12,230.11,230.89,37476188
2025-08-19,AAPL,231.275,232.87,229.35,230.56,39402564
2025-08-20,AAPL,229.98,230.47,225.77,226.01,42263865
2025-08-21,AAPL,226.27,226.52,223.7804,224.9,30621249
2025-08-22,AAPL,226.17,229.09,225.41,227.76,42477811
2025-08-25,AAPL,226.48,229.3,226.23,227.16,30983133
2025-08-26,AAPL,226.87,229.49,224.69,229.31,54575107
2025-08-27,AAPL,228.61,230.9,228.26,230.49,31259513
2025-08-28,AAPL,230.82,233.41,229.335,232.56,38074700
2025-08-29,AAPL,232.51,233.38,231.37,232.14,39418437
2025-09-02,AAPL,229.25,230.85,226.97,229.72,44075638
2025-09-03,AAPL,237.21,238.85,234.36,238.47,66061716
2025-09-04,AAPL,238.45,239.8999,236.74,239.78,47549429
2025-09-05,AAPL,239.995,241.32,238.4901,239.69,54870397
2025-09-08,AAPL,239.3,240.15,236.34,237.88,48999495
2025-09-09,AAPL,237.0,238.7805,233.36,234.35,66313918
